Player,Team,Class,Height,Position
Hannah Belanger, Iowa St. (Big 12),Sr.,5-8,G
Tess Myers, Duquesne (Atlantic 10),Jr.,5-9,G
Emma Hess, Liberty (CUSA),Jr.,5-11,G
Sadie Stetson, Samford (SoCon),Sr.,5-7,G
Sofie Lowis, SIUE (OVC),Jr.,5-8,G
Hayley Frank, Missouri (SEC),Sr.,6-1,F
Tracey Bershers, UAB (AAC),Jr.,6-2,F
Kimeira Burks, N.C. Central (MEAC),Sr.,5-8,G
Naelle Bernard, Duquesne (Atlantic 10),Jr.,5-5,G
Annaliese Griffin, Arkansas St. (Sun Belt),Jr.,6-1,G
Nicole Rodriguez, LMU (CA) (WCC),Sr.,5-9,G
Alyssa Durazo-Frescas, UNLV (Mountain West),Jr.,5-7,G
Jordan Meulemans, Butler (Big East),So.,6-0,G
Jada Lewis, San Diego St. (Mountain West),Sr.,5-9,G
Jo Raflo, Mount St. Mary's (MAAC),Jr.,5-10,G
Maddie Walsh, UAB (AAC),Jr.,6-2,F
Rusne Augustinaite, Georgia Tech (ACC),Fr.,6-0,G
Maddie Vizza, Northeastern (CAA),Sr.,5-6,G
Meghan Huerter, UAlbany (America East),Jr.,5-11,G
Ivy Wolf, Dayton (Atlantic 10),Jr.,5-8,G
Kailee Davis, Northern Ky. (Horizon),Jr.,5-2,G
Ellie Buzzelle, Eastern Ill. (OVC),So.,5-8,G
Shay Ciezki, Penn St. (Big Ten),So.,5-7,G
Kendall Holmes, South Dakota (Summit League),Jr.,5-10,G
Alexis Andrews, Col. of Charleston (CAA),So.,5-8,G
Dena Jarrells, Youngstown St. (Horizon),Sr.,5-7,G
Jewel Spear, Tennessee (SEC),Sr.,5-10,G
Dani Haskell, St. Bonaventure (Atlantic 10),Sr.,5-5,G
Mariah Elohim, LIU (NEC),So.,5-10,G
Madison Layden, Purdue (Big Ten),Sr.,6-1,G
Cayla King, Virginia Tech (ACC),Sr.,6-0,G
Hannah Kohn, Chattanooga (SoCon),Fr.,5-9,G
Emily Rodabaugh, Northern Ariz. (Big Sky),Sr.,6-0,G
Chelsea Wooten, Western Caro. (SoCon),Jr.,5-9,G
Solape Amusan, Sacramento St. (Big Sky),Sr.,6-2,F
Bailey Tabeling, Ohio (MAC),Fr.,5-10,G
Tarriyonna Gary, Temple (AAC),Sr.,5-10,G
Sabrina Ma, San Jose St. (Mountain West),So.,5-10,G
Lauren Hansen, Michigan (Big Ten),Sr.,5-8,G
Audra Emmerson, Purdue Fort Wayne (Horizon),Jr.,5-7,G
Deja Williams, Mercer (SoCon),Sr.,5-6,G
Marta Galic, Tulane (AAC),Sr.,6-0,G
MeiLani McBee, Hawaii (Big West),Jr.,5-10,G
Emily Counsel, Denver (Summit League),Sr.,6-3,G
Isabella Mauricio, Brown (Ivy League),Jr.,5-4,G
Dominique Ennis, Rice (AAC),So.,5-9,G
Jaila Harding, New Mexico St. (CUSA),Jr.,5-8,G
Rebecca Demeke, Delaware (CAA),Sr.,6-0,G
Lyric Swann, North Florida (ASUN),Sr.,5-5,G
Rachel Ullstrom, Richmond (Atlantic 10),So.,6-1,G
Debreasha Powe, Mississippi St. (SEC),So.,6-1,G
Madison Mathiowetz, South Dakota St. (Summit League),So.,5-10,G
Dolly Cairns, FGCU (ASUN),Sr.,5-6,G
Holly Kersgieter, Kansas (Big 12),Sr.,5-10,G
Jessica Grant, UC Santa Barbara (Big West),So.,5-8,G
Kaci Donovan, Monmouth (CAA),Sr.,6-1,G
Mya Williams, Georgia St. (Sun Belt),Jr.,5-7,G
Sydni Summers, San Jose St. (Mountain West),Fr.,5-5,G
Sydney Parrish, Indiana (Big Ten),Sr.,6-2,G
Lauren Gross, ULM (Sun Belt),Sr.,5-9,G
Saniah Tyler, Kentucky (SEC),So.,5-6,G
Sidney McCrea, NIU (MAC),Sr.,5-10,G
Freja Werth, San Francisco (WCC),Jr.,6-1,G
Reese Ericson, Army West Point (Patriot),So.,5-6,G
Brylee Bartram, FGCU (ASUN),Sr.,5-8,G
Keelie O'Hollaren, Air Force (Mountain West),Fr.,5-10,G
Kristin Williams, Massachusetts (Atlantic 10),Jr.,5-8,G
Kendall McGruder, Fairfield (MAAC),Jr.,5-9,G
Annika Shah, Cal Poly (Big West),Jr.,5-3,G
Molly Sheehan, SIUE (OVC),Jr.,5-8,G
Macy Silvey, SIUE (OVC),So.,5-10,G
Petra Oborilova, Iona (MAAC),So.,6-2,F
Deaja Richardson, Coastal Carolina (Sun Belt),Sr.,5-9,G
Jessika Schiffer, Rider (MAAC),Sr.,5-9,G
Kayla Padilla, Southern California (Pac-12),Sr.,5-9,G
Tiana Timpe, Central Mich. (MAC),Jr.,5-11,G
Sara Bejedi, Florida St. (ACC),Sr.,5-7,G
Asia Boone, Liberty (CUSA),Fr.,5-8,G
Sydni Scott, Marshall (Sun Belt),So.,5-8,G
Naudia Evans, Grand Canyon (WAC),Jr.,5-6,G
Aleighyah Fontenot, Southern U. (SWAC),Jr.,5-9,G
Maddie Heiss, Wofford (SoCon),Fr.,5-10,G
Destiny Strother, Niagara (MAAC),Sr.,5-9,G
Lauren Bailey, Gardner-Webb (Big South),Fr.,5-8,G
Kelly Ratigan, Loyola Maryland (Patriot),So.,5-8,G
Mikayla Etienne, Nicholls (Southland),Sr.,5-8,G
Mataya Gayle, Penn (Ivy League),Fr.,5-7,G
Tess Barnes, Wyoming (Mountain West),Jr.,6-2,F
Salma Bates, Louisiana Tech (CUSA),Sr.,5-7,G
Taliyah Clark, UT Arlington (WAC),Jr.,5-11,G
Kaety L'Amoreaux, Fairfield (MAAC),Fr.,5-6,G
Hannah Pratt, Tulane (AAC),Sr.,6-1,F
Michelle Sidor, DePaul (Big East),Sr.,5-8,G
Briley Pena, Murray St. (MVC),So.,5-4,G
Sydney Ryan, Furman (SoCon),So.,5-11,G
Coriah Beck, Ark.-Pine Bluff (SWAC),Jr.,5-11,G
Mallory McDermott, Western Ill. (OVC),Sr.,5-8,G
Sajada Bonner, Sacred Heart (NEC),Sr.,6-0,G
Tyana Walker, Howard (MEAC),Fr.,5-10,G
Jade Upshaw, Central Ark. (ASUN),Jr.,5-7,G
Jillian Huerter, Rutgers (Big Ten),Fr.,6-0,G
Katie Keitges, Omaha (Summit League),Sr.,5-8,G
Olivia Rockwood, Maine (America East),Sr.,5-5,G
Maddie Nolan, Colorado (Pac-12),Sr.,5-11,G
Arianna Sturdivant, UTRGV (WAC),Jr.,5-8,G
