Player,Team,Class,Height,Position
Brooklynn Miles, Kentucky (SEC),Jr.,5-4,G
Tess Heal, Santa Clara (WCC),So.,5-10,G
Paige Kohler, Bowling Green (MAC),Fr.,5-8,G
Cara McCormack, Holy Cross (Patriot),Sr.,5-3,G
Abby Schulte, North Dakota St. (Summit League),Sr.,5-10,G
Gigi Gonzalez, Stony Brook (CAA),Sr.,5-7,G
Kylie Kornegay-Lucas, Towson (CAA),Sr.,5-10,G
Alyssa Ustby, North Carolina (ACC),Sr.,6-1,G
Genesis Bryant, Illinois (Big Ten),Sr.,5-6,G
Emma Utterback, Vermont (America East),Sr.,5-8,G
Jordan McLaughlin, Old Dominion (Sun Belt),Sr.,5-7,G
Colbi Maples, Cleveland St. (Horizon),Jr.,5-8,G
Kiyley Flowers, Southeast Mo. St. (OVC),Jr.,5-7,G
Elise Williams, Wake Forest (ACC),Jr.,5-9,G
Quinesha Lockett, Toledo (MAC),Sr.,5-10,G
Abby Antognoli, Lafayette (Patriot),Jr.,5-7,G
Kelsey Ransom, Georgetown (Big East),Sr.,5-10,G
Samara Spencer, Arkansas (SEC),Jr.,5-9,G
Jayla Adams, North Florida (ASUN),Sr.,5-6,G
Trinity Johnson, USC Upstate (Big South),Sr.,5-7,G
Jiselle Woodson, Northwestern St. (Southland),Sr.,5-5,G
Douthsine Prien, Grambling (SWAC),Jr.,5-7,G
Kennedi Grant, Omaha (Summit League),Jr.,5-7,G
Avery Brittingham, UT Arlington (WAC),Sr.,6-1,F
Makayla Miller, La Salle (Atlantic 10),Sr.,5-7,G
Kyla Deck, SFA (WAC),So.,5-9,G
Jada  Burton, Western Caro. (SoCon),Jr.,5-8,G
Deja Kelly, North Carolina (ACC),Sr.,5-8,G
Colleen McQuillen, Lehigh (Patriot),Jr.,5-10,G
Tate Walters, Furman (SoCon),Jr.,5-9,G
Lexi Rubel, UT Martin (OVC),So.,6-1,F
Olivia  Porter, Charlotte (AAC),So.,5-8,G
Maddie Scherr, Kentucky (SEC),Sr.,5-11,G
Ainhoa Cea, Lipscomb (ASUN),So.,5-6,G
Addi Brownfield, Western Ill. (OVC),So.,5-9,G
Bella Earle, Abilene Christian (WAC),Jr.,5-10,G
Ayanna Khalfani, UNC Greensboro (SoCon),---,5-11,G
Kamy Peppler, Milwaukee (Horizon),So.,5-6,G
Sidney Love, UTSA (AAC),So.,5-8,G
Chellia Watson, Buffalo (MAC),Sr.,5-8,G
Cameron Brink, Stanford (Pac-12),Sr.,6-4,F
Lucy Cochrane, Portland (WCC),Sr.,6-6,F
Taiyanna Jackson, Kansas (Big 12),Sr.,6-6,C
Angel Jackson, Jackson St. (SWAC),Sr.,6-5,C
Anastasiia Boldyreva, Middle Tenn. (CUSA),Jr.,6-6,C
Caitlin Weimar, Boston U. (Patriot),Sr.,6-4,F
Josie Hill, Chicago St. (DI Independent),So.,6-1,C
Serah Williams, Wisconsin (Big Ten),So.,6-4,F
Ayoka Lee, Kansas St. (Big 12),Sr.,6-6,C
Anna Miller, Drake (MVC),Jr.,6-3,F
Abby Muse, Boise St. (Mountain West),Sr.,6-2,F
Makayla Timpson, Florida St. (ACC),Jr.,6-2,F
Addie Budnik, Richmond (Atlantic 10),Sr.,6-2,F
Kamilla Cardoso, South Carolina (SEC),Sr.,6-7,C
Emily Bowman, Samford (SoCon),So.,6-5,C
Belle Kranbuhl, Monmouth (CAA),Sr.,6-3,C
Ashlyn Watkins, South Carolina (SEC),So.,6-3,F
Christina Dalce, Villanova (Big East),Jr.,6-2,F
Emily Saunders, Youngstown St. (Horizon),Sr.,6-5,F
Bella Smuda, Liberty (CUSA),Jr.,6-6,C
Maryam Dauda, Arkansas (SEC),So.,6-4,F
Natalia Ackerman, Cal Poly (Big West),Sr.,6-1,F
Julia Ayrault, Michigan St. (Big Ten),Sr.,6-2,G
Elizabeth Kitley, Virginia Tech (ACC),Sr.,6-6,C
Lauren Betts, UCLA (Pac-12),So.,6-7,C
Tenin Magassa, Rhode Island (Atlantic 10),Jr.,6-5,C
Rayah Marshall, Southern California (Pac-12),Jr.,6-4,F
Kate Bullman, Illinois St. (MVC),Sr.,6-2,F
Riley Stack, Coastal Carolina (Sun Belt),Fr.,6-4,C
Essence Cody, Alabama (SEC),Fr.,6-4,F
Tayra Eke, Eastern Mich. (MAC),Jr.,6-3,G
Cordasia Harris, Alabama St. (SWAC),Sr.,6-1,F
Ashley Sofilkanich, Bucknell (Patriot),Fr.,6-3,F
Jada Tiggett, N.C. Central (MEAC),Fr.,6-2,G
Millie Prior, Davidson (Atlantic 10),Jr.,6-2,F
Brooklyn Meyer, South Dakota St. (Summit League),So.,6-2,F
Destiny Brown, Alcorn (SWAC),Jr.,6-3,C
Dalayah Daniels, Washington (Pac-12),Jr.,6-4,F
Amaya Dowdy, LIU (NEC),Jr.,6-0,F
Taylor Jones, Texas (Big 12),Sr.,6-4,F
Macy McGlone, Eastern Ill. (OVC),Jr.,6-2,F
Iycez Adams, Elon (CAA),Jr.,5-11,F
Breya Cunningham, Arizona (Pac-12),Fr.,6-4,F
Christabel Ezumah, Campbell (CAA),Sr.,6-2,F
Anaya Brown, UT Martin (OVC),So.,6-1,F
Amirah Abdur-Rahim, SMU (AAC),Sr.,6-3,F
Lauren Ware, Texas A&M (SEC),Sr.,6-5,F
Tatyana Wyche, East Carolina (AAC),Jr.,6-2,F
Emma Trawally Porta, Detroit Mercy (Horizon),Jr.,5-11,F
Jessika Carter, Mississippi St. (SEC),Sr.,6-5,C
Rochelle Norris, Central Mich. (MAC),Sr.,6-5,C
Olivia Olsen, Providence (Big East),Jr.,6-3,F
