Height,MINUTES_PLAYED,THREE_POINTS_MADE,FREE_THROWS_MADE,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS
76,837,8,118,305,23,102,19,77,72
65,718,30,114,114,109,80,59,2,58
72,721,0,93,220,42,97,45,41,99
70,932,75,43,68,32,54,22,3,43
74,826,0,101,237,52,74,28,56,68
70,926,59,72,177,53,79,61,4,72
68,1003,34,124,136,102,102,56,10,82
69,1130,59,73,91,92,84,24,1,28
73,808,58,39,150,45,47,41,40,58
75,609,0,33,200,15,36,22,34,56
74,785,0,63,229,28,71,29,20,87
67,1025,43,97,86,139,69,37,5,69
65,978,9,35,87,109,97,68,2,121
76,750,0,68,236,31,50,21,38,41
67,873,33,49,107,94,105,32,6,53
74,668,0,29,154,22,25,18,26,50
69,993,36,122,103,84,110,67,15,88
69,1036,46,104,108,86,109,40,2,55
78,749,6,53,170,46,59,24,43,88
74,860,13,65,208,68,73,22,20,90
74,853,15,73,194,72,78,56,14,93
72,746,32,38,99,30,43,50,13,105
71,988,104,34,94,39,44,59,15,50
69,866,35,27,126,163,115,32,9,70
72,884,0,98,225,61,92,44,16,80
69,738,36,17,75,86,36,33,2,27
75,746,0,19,220,47,60,26,74,73
70,875,21,102,153,40,100,44,4,97
75,794,0,34,187,43,61,30,50,72
73,577,0,46,170,29,56,30,37,81
73,979,20,27,218,65,45,67,22,64
77,303,0,34,115,7,48,12,32,60
79,717,0,56,242,23,58,13,55,47
72,811,0,102,247,25,63,23,13,76
73,737,1,84,200,16,56,26,13,63
72,898,0,27,243,55,49,50,6,66
67,763,12,43,51,99,65,52,1,54
74,712,8,62,198,27,65,38,31,80
67,601,3,31,72,126,70,48,3,63
65,789,21,43,78,79,66,51,1,53
74,367,0,15,105,1,25,10,31,56
75,531,0,11,111,18,35,14,49,72
68,841,38,121,73,122,66,15,5,65
64,803,12,49,125,108,69,29,2,59
69,657,8,34,64,101,48,34,1,60
69,846,69,48,68,137,54,39,4,44
65,756,27,53,97,77,62,29,5,38
70,984,61,49,149,46,53,40,5,53
73,1179,1,58,490,58,101,15,8,88
64,988,38,61,118,103,54,45,0,28
69,1014,46,87,104,36,53,29,8,43
69,759,2,80,210,35,81,32,14,75
69,749,37,48,171,103,49,53,7,38
71,1007,62,72,173,45,69,48,9,92
73,670,0,28,143,19,44,22,31,82
70,824,24,108,129,88,83,54,5,91
69,881,77,58,71,37,36,20,6,38
70,825,0,25,318,29,37,38,21,81
67,972,46,76,90,100,60,47,5,79
69,946,28,49,107,52,34,56,8,43
73,935,5,91,235,70,82,38,24,75
70,961,44,66,136,87,75,63,11,71
66,811,12,34,130,100,60,36,4,63
73,737,3,87,213,19,87,22,10,79
67,862,70,85,78,40,95,15,7,55
68,1002,37,82,97,106,103,25,3,61
66,637,5,17,116,91,79,23,3,65
70,1002,69,51,167,42,55,44,20,81
66,1008,56,44,110,81,53,42,6,24
68,1184,32,66,139,169,125,43,4,37
67,970,44,77,119,165,92,31,3,77
75,758,14,65,306,65,80,33,82,60
72,959,28,121,206,44,86,31,3,67
70,891,16,124,213,50,65,29,10,65
68,984,40,124,194,76,145,55,24,93
73,829,4,65,301,53,73,42,7,96
73,634,4,28,123,23,40,56,20,87
69,1006,94,72,108,78,57,39,13,66
71,978,10,68,141,170,113,46,3,75
70,910,65,75,143,66,39,18,4,31
67,895,28,39,129,135,42,31,5,47
67,919,29,50,88,164,55,66,4,64
72,750,28,67,121,63,65,73,14,87
74,851,0,91,231,26,72,28,35,85
72,1121,65,16,196,70,54,31,6,70
70,899,59,35,109,77,46,28,1,47
77,922,0,61,293,31,68,21,50,73
67,906,25,67,116,88,53,33,2,69
64,664,23,34,113,124,82,22,1,31
68,1037,50,92,152,96,87,32,3,59
65,1094,107,115,142,104,59,67,6,15
73,654,2,36,190,15,36,60,27,92
70,578,31,70,92,70,54,54,22,70
67,1046,59,96,127,137,58,44,5,46
67,821,28,43,98,75,75,65,10,72
71,611,3,62,108,32,56,54,6,62
73,942,17,127,152,154,90,48,10,75
70,887,14,76,221,50,86,31,16,71
74,1006,51,82,187,78,97,23,33,78
70,821,79,12,92,34,37,40,2,66
73,857,0,87,274,40,56,56,17,88
75,786,0,71,231,62,83,52,36,95
68,937,53,158,98,216,92,77,3,53
72,988,72,37,126,99,80,27,30,54
74,661,0,40,208,16,53,31,24,82
68,1027,66,40,104,68,49,38,4,44
66,954,74,67,98,80,91,22,3,62
72,839,0,34,256,37,61,28,32,102
73,692,15,32,149,62,44,23,30,71
75,774,0,58,191,17,53,16,32,102
71,786,35,37,95,65,63,56,17,64
71,647,2,121,147,15,57,27,15,84
66,976,31,64,188,92,56,46,5,51
73,717,1,51,186,26,61,7,48,72
75,959,0,112,299,66,75,53,28,78
70,1029,15,58,117,86,49,26,10,40
73,636,15,30,224,57,43,18,20,75
67,1060,38,132,111,77,118,50,2,79
75,644,0,20,208,25,65,28,30,77
66,962,22,41,153,122,86,40,9,35
68,1055,47,46,57,67,55,28,3,56
68,1054,44,54,99,125,65,34,1,62
71,694,20,51,84,35,61,58,6,61
68,720,14,76,134,111,50,45,5,53
73,415,0,32,92,21,49,36,31,74
73,798,1,49,198,41,75,26,76,75
67,1075,56,140,250,163,72,64,8,53
71,974,72,51,128,62,67,26,14,70
70,628,61,10,73,31,38,47,3,35
74,610,10,77,127,23,92,25,28,94
68,855,0,53,151,80,78,76,10,52
70,1005,39,39,148,134,89,31,29,56
67,818,30,102,118,99,109,88,7,95
67,830,40,92,136,70,68,69,8,73
73,782,0,49,147,56,66,9,31,89
75,906,3,96,273,36,66,35,53,69
67,991,22,59,112,78,71,51,6,55
67,766,0,32,68,108,78,62,2,70
70,1005,30,19,139,108,38,49,21,63
69,889,15,113,162,105,92,53,18,83
69,881,51,62,104,67,59,74,5,89
73,850,2,105,274,45,61,45,36,81
73,1028,12,102,132,79,61,23,20,63
74,757,0,90,282,48,60,33,33,63
70,963,62,30,131,98,49,28,5,36
73,839,1,100,239,20,54,38,13,66
78,327,0,20,73,9,33,5,51,49
73,985,35,116,164,81,64,30,38,79
74,926,24,59,205,150,76,62,18,62
72,815,38,47,159,35,64,52,8,72
73,744,0,52,178,12,36,16,30,52
70,837,17,29,136,82,71,50,5,59
75,932,69,79,146,66,69,30,29,53
74,614,0,66,131,17,48,13,40,72
72,749,0,74,203,35,71,41,21,80
67,1042,48,48,116,64,57,48,11,90
69,999,56,57,178,164,81,72,13,50
70,892,65,45,130,41,49,21,14,74
66,980,41,74,119,78,61,68,11,53
69,940,23,127,152,101,71,40,5,62
72,778,39,82,224,36,49,47,17,77
76,685,0,24,153,19,44,32,58,121
69,960,28,41,126,120,55,80,17,53
74,809,0,54,255,27,70,34,41,89
75,803,45,8,187,28,16,16,9,36
63,788,34,72,77,47,50,25,1,73
73,883,60,39,98,49,44,32,18,66
74,894,3,101,197,99,88,24,27,85
69,770,11,24,247,32,34,25,2,33
69,1087,47,114,144,115,73,57,18,72
66,764,47,74,80,97,38,30,0,24
73,639,9,17,190,43,41,19,27,40
72,977,66,115,146,120,47,67,38,55
74,933,28,63,287,72,104,23,23,71
73,1000,30,54,120,168,91,39,23,48
69,822,71,23,81,111,47,24,6,17
71,804,0,104,217,34,66,39,16,90
71,848,54,76,123,71,90,35,9,94
73,923,2,101,194,102,70,26,20,63
68,601,17,46,107,46,30,47,14,47
74,871,18,69,267,22,64,51,21,78
73,656,1,4,94,26,42,20,36,50
70,946,60,58,61,45,64,20,7,33
69,724,7,67,117,77,62,63,8,56
68,817,16,38,132,52,66,93,1,66
68,1069,28,103,81,119,111,26,0,73
69,838,61,108,127,39,53,25,2,62
74,844,1,79,232,37,81,40,22,89
75,1021,53,78,233,54,73,34,14,56
67,998,26,116,104,111,76,42,7,65
67,926,34,25,146,120,58,30,8,55
67,989,41,95,73,84,60,41,15,52
70,823,58,26,107,21,32,24,19,59
66,726,17,32,106,61,72,60,1,50
76,340,1,34,100,29,37,8,34,45
75,603,0,47,198,17,53,36,34,116
75,589,0,50,215,34,53,32,24,77
72,942,33,77,121,54,64,46,5,51
71,774,12,113,195,43,93,35,5,86
74,454,0,15,141,5,37,15,23,58
68,857,6,86,192,77,85,29,9,58
69,970,67,18,92,62,35,74,20,53
70,857,22,71,142,44,62,47,8,76
74,689,38,53,140,38,39,30,24,40
77,446,0,32,156,19,39,30,36,58
74,764,3,116,210,19,63,23,23,87
70,923,38,96,90,51,60,48,3,55
68,682,7,16,42,83,68,36,2,47
71,874,94,83,122,72,66,29,7,66
72,675,0,10,193,19,38,46,14,59
67,901,48,33,93,49,55,49,3,40
68,634,0,26,139,24,53,67,7,58
71,1014,47,43,87,65,44,32,18,44
67,1033,49,110,87,69,59,49,0,45
64,982,41,112,112,122,95,75,0,75
71,1007,71,28,118,75,63,19,12,55
74,842,9,94,165,78,75,22,26,44
70,1011,52,137,153,41,61,74,2,48
66,929,60,44,85,110,65,23,2,71
69,730,52,88,65,29,68,12,2,39
65,1008,76,121,99,29,54,32,6,44
72,1171,35,28,118,117,45,103,28,37
71,984,35,90,268,42,61,30,20,94
78,883,1,99,302,45,61,19,71,57
75,736,0,43,180,17,49,16,44,83
67,667,4,41,88,75,53,54,6,71
66,940,47,141,113,100,81,47,3,61
71,737,25,75,104,73,87,45,11,72
73,863,11,135,258,46,105,50,16,96
69,878,43,57,91,80,65,69,2,58
67,740,17,41,85,78,57,83,4,62
67,909,23,69,113,93,69,35,4,51
73,916,23,77,219,41,62,58,22,67
65,1003,88,27,57,52,44,29,3,32
69,888,59,35,81,43,49,41,5,61
66,742,53,45,113,73,66,45,2,54
75,397,0,10,73,9,43,9,40,72
73,750,4,30,212,50,56,20,11,63
73,886,60,74,172,53,57,17,14,88
71,498,0,5,97,26,24,37,37,69
75,853,1,171,233,50,77,24,26,82
71,767,6,38,130,54,53,50,12,92
75,922,19,87,342,38,57,23,11,77
72,929,16,85,209,61,99,36,9,60
68,947,71,27,77,33,48,24,4,58
74,713,17,48,159,29,52,37,31,85
74,833,28,32,186,34,46,23,29,61
62,1046,55,137,115,211,71,36,4,34
66,834,30,98,147,97,67,55,15,56
71,923,66,40,138,55,65,29,18,59
74,662,1,31,187,26,75,21,20,48
70,1058,9,117,345,145,84,44,25,91
66,1135,52,120,131,150,70,41,4,59
72,854,24,85,223,53,84,39,5,66
68,1003,31,104,182,86,99,89,5,96
68,732,1,53,189,50,55,48,8,78
67,859,16,43,103,68,71,88,5,87
75,746,4,38,219,21,57,20,43,87
67,810,13,97,89,93,77,44,4,75
74,1028,64,70,135,82,65,21,83,58
71,1073,44,60,201,66,56,43,21,62
67,906,2,66,112,130,76,39,3,71
73,871,28,71,227,28,84,17,20,88
73,1047,3,52,289,112,88,53,40,105
73,867,8,37,166,83,62,29,31,58
